ID_event,granule_couple,coordinates,sensing_time,detector_number,N_v,N_h,N_eff
Etna_02,"[0, 1]",[37.75754591 15.07075285],03/06/2022 09:50,1,-174,-2,174.0114939
Etna_02,"[1, 2]",[37.54515673 15.0097868 ],03/06/2022 09:50,1,-175,-2,175.0114282
Etna_03,"[0, 1]",[37.73354552 15.06005608],30/05/2019 09:50,1,-174,-2,174.0114939
Fuego_00,"[0, 2]",[ 14.38771225 -90.73683059],06/09/2021 16:39,4,185,-3,185.0243227
Fuego_00,"[1, 3]",[ 14.48572126 -90.9420294 ],06/09/2021 16:39,3,-172,-2,172.0116275
Fuego_01,"[0, 2]",[ 14.50726828 -90.7186214 ],21/09/2021 16:39,4,182,-14,182.5376673
Fuego_01,"[1, 3]",[ 14.60558953 -90.92425786],21/09/2021 16:39,3,-174,-13,174.4849564
Fuego_01,"[2, 4]",[ 14.29349908 -90.76726472],21/09/2021 16:39,4,183,-15,183.613725
Fuego_01,"[3, 5]",[ 14.39174178 -90.97260533],21/09/2021 16:39,3,-174,-13,174.4849564
Fuego_02,"[0, 2]",[ 14.5193591  -90.72325757],11/10/2021 16:39,4,182,-14,182.5376673
Fuego_02,"[1, 3]",[ 14.61761477 -90.92911751],11/10/2021 16:39,3,-173,-13,173.4877517
Fuego_02,"[2, 4]",[ 14.30548083 -90.77196611],11/10/2021 16:39,4,183,-14,183.5347379
Fuego_02,"[3, 5]",[ 14.40352781 -90.97740943],11/10/2021 16:39,3,-174,-13,174.4849564
Karangetang_01,"[0, 1]",[  2.98869586 125.28285167],30/11/2018 02:06,2,187,-6,187.0962319
Karangetang_01,"[1, 2]",[  2.77468831 125.23591311],30/11/2018 02:06,2,187,-6,187.0962319
Karangetang_01,"[3, 4]",[  2.79198224 125.46834444],30/11/2018 02:06,3,-172,-2,172.0116275
Karangetang_01,"[4, 5]",[  2.57792221 125.42124133],30/11/2018 02:06,3,-172,-2,172.0116275
Krysuvik-Trolladyngja_00,"[0, 1]",[ 63.9298231  -22.38935457],23/03/2021 13:13,8,187,0,187
Krysuvik-Trolladyngja_00,"[1, 3]",[ 63.72866211 -22.57336526],23/03/2021 13:14,8,187,0,187
Krysuvik-Trolladyngja_00,"[2, 4]",[ 63.89986876 -21.8858321 ],23/03/2021 13:14,9,-172,-2,172.0116275
Krysuvik-Trolladyngja_00,"[4, 5]",[ 63.69922256 -22.07361603],23/03/2021 13:14,9,-171,-2,171.0116955
Krysuvik-Trolladyngja_01,"[0, 1]",[ 63.92986978 -22.39151881],02/04/2021 13:13,8,187,0,187
Krysuvik-Trolladyngja_01,"[1, 3]",[ 63.72863251 -22.57578547],02/04/2021 13:14,8,187,0,187
Krysuvik-Trolladyngja_01,"[2, 4]",[ 63.89987441 -21.88828066],02/04/2021 13:14,9,-172,-2,172.0116275
Krysuvik-Trolladyngja_01,"[4, 5]",[ 63.69918924 -22.07589465],02/04/2021 13:14,9,-172,-2,172.0116275
Krysuvik-Trolladyngja_02,"[0, 2]",[ 63.88283381 -22.01839545],19/04/2021 13:03,4,187,-3,187.0240626
Krysuvik-Trolladyngja_02,"[1, 3]",[ 64.00994644 -22.44049112],19/04/2021 13:03,3,-174,-2,174.0114939
Krysuvik-Trolladyngja_02,"[2, 4]",[ 63.67947647 -22.1867907 ],19/04/2021 13:03,4,187,-3,187.0240626
